Marca temporal,"Evalúe su nivel de competencia en el uso de plataformas LMS (Moodle, Canvas, Google Classroom).",¿Con qué frecuencia diseña actividades interactivas en entornos digitales?,¿Qué tan competente se siente para adaptar materiales a estudiantes con discapacidad?,¿Ha recibido formación específica sobre el uso pedagógico de TIC en su institución?,¿Considera que su institución brinda apoyo suficiente para fortalecer sus competencias digitales?,¿Evalúe su competencia para crear recursos educativos con Canva Genially u otras?,¿Utiliza repositorios abiertos de recursos académicos y científicos    ?,¿Con qué frecuencia adapta sus contenidos digitales a la diversidad estudiantil?,¿Con que frecuencia utiliza herramientas colaborativas como Google Docs o Padlet? con sus estudiantes,"¿Con qué frecuencia participa en comunidades virtuales o redes digitales de docentes para compartir recursos, estrategias o experiencias pedagógicas? ","¿Utiliza herramientas como (Kahoot, Socrative, Moodle) para la evaluación formativa?",¿Qué tan competente se considera en el diseño y uso de rúbricas digitales para evaluar el aprendizaje de sus estudiantes? ,"¿Con qué frecuencia utiliza medios digitales (video, audio o texto) para ofrecer retroalimentación personalizada a sus estudiantes? ","¿Con qué frecuencia utiliza herramientas de IA (ChatGPT, Copilot, Gamma, Bard, etc.) en su enseñanza?",¿Ha recibido formación específica sobre IA aplicada a la educación?,¿En qué medida considera que la inteligencia artificial puede apoyar y complementar su retroalimentación docente? ,¿En qué medida considera que la inteligencia artificial contribuye a personalizar el aprendizaje de sus estudiantes? ,¿Percibe que el uso de la inteligencia artificial en el aula implica la necesidad de abordar temas éticos con sus estudiantes? ,¿Cree que la IA puede favorecer la inclusión educativa?,¿Considera que la IA le ahorra tiempo en tareas repetitivas?,¿Conoce la metodología COIL (Collaborative Online International Learning)?,¿Conoce el marco DigCompEdu de la Unión Europea sobre competencias digitales docentes?,¿Conoce el marco ICT-CFT de la UNESCO sobre competencias digitales docentes?,"¿Conoce que existen criterios internacionales para evaluar competencias digitales docentes (niveles: básico, intermedio, avanzado)?",¿Seleccione su nivel de competencias digitales docentes de acuerdo al marco europeo DigCompEdu?,¿En qué áreas considera tener mayor dominio en el uso de tecnologías digitales? (marque todas las que correspondan),¿Cuáles son las principales dificultades que enfrenta al integrar TIC o IA en su práctica docente? (marque todas las que correspondan),¿Considera que sus competencias digitales actuales son adecuadas para implementar estrategias pedagógicas que promuevan aprendizajes significativos en entornos virtuales?,¿En qué medida sus competencias digitales contribuyen a generar aprendizajes significativos en sus estudiantes? ,Mencione las principales ventajas que ha encontrado al usar plataformas virtuales en su institución.,¿Qué limitaciones ha enfrentado en el uso de herramientas digitales en su práctica docente?,"En su opinión, ¿qué competencias digitales son esenciales para un docente de educación superior?",¿De qué manera el uso de herramientas digitales ha influido en sus estrategias o criterios para evaluar el aprendizaje de sus estudiantes? ,¿Qué retos técnicos o dilemas éticos ha experimentado o considera que podría enfrentar al integrar herramientas de inteligencia artificial en el aula? ,INSTITUCIÓN DE EDUCACIÓN SUPERIOR
2025-10-29 01:03:02.304,5,5,3,2,2,5,5,4,5,4,5,3,4,5,2,5,5,4,5,5,2,3,2,2,Innova con TIC y guía a otros docentes en su uso.,"Creación y adaptación de contenidos digitales., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.",Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Mejor control de avance de rendimiento de los estudiantes,Las herramientas digitales son pocas y no se tiene licencia para la amplia gama de aplicaciones actuales,Uso de Inteligencia Artificial,En la creación de rúbricas,El desarrollo de tareas con el uso de IA no se puede controlar su uso,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-29 08:27:37.359,3,2,2,1,2,2,4,3,4,1,4,3,2,3,1,4,4,5,4,5,1,1,1,1,"Uso limitado, aplica TIC en actividades simples.","Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital).","Infraestructura tecnológica insuficiente, Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.",Poco adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Facilidad para ingresar o acceder desde casa o trabajo,Escasa o nula apoyo institucional para adecuado aprendizaje para el uso de herramientas digitales,"Es necesario poder gestionar adecuadamente la información, mantener una comunicación asertiva y dominar herramientas tecnológicas y pedagógicas",A presar del poco uso por el desconocimiento a sido positivo para evaluar el aprendizaje de los estudiantes cuando se lo a utilizado.,Falta de un análisis personal y limitación a una simple copia,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-29 08:50:32.514,4,4,2,4,3,4,5,3,5,3,5,5,5,4,4,5,4,5,4,5,1,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,"Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Uso de inteligencia artificial y tecnologías emergentes.","Conectividad limitada., Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.","Sí, totalmente adecuadas.",Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Promover la participación activa de los estudiantes y diversificar las actividades propuestas en el aula de manera colaborativa y autónoma.,Plataformas de pago,Conocimiento y aplicación de herramientas de inteligencia artificial aplicada a la educación ,Ideas innovadoras de alto valor en el aula,la mala utilización por parte de los estudiantes,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-29 09:55:11.610,4,5,1,4,3,4,4,5,5,3,4,4,5,3,3,5,5,5,5,5,2,1,1,2,Uso autónomo y regular de TIC en la enseñanza.,"Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Infraestructura tecnológica insuficiente, Conectividad limitada., Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.","Sí, totalmente adecuadas.",Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Me permiten elaborar los objetivos generales y específicos de las diferentes unidades siempre y cuando le facilite a la IA los prompts detallados.,"La falta de conexión que los estudiantes poseen, falta de internet, conexión agil, las intermitencias.","El docente de educación superior debe desarrollar competencias digitales que le permitan integrar eficazmente la tecnología en su práctica pedagógica. Estas incluyen:
Información y alfabetización digital: saber buscar, evaluar y usar información en línea de manera crítica y ética.
Uso de herramientas tecnológicas: manejar plataformas y recursos digitales para optimizar la enseñanza-aprendizaje.
Diseño y gestión de entornos virtuales: crear experiencias educativas interactivas, tanto en modalidad virtual como híbrida.
Comunicación y colaboración digital: utilizar medios tecnológicos para comunicarse y trabajar colaborativamente.
Innovación y creatividad digital: aplicar tecnologías emergentes para fomentar el pensamiento crítico y la creatividad.
Seguridad y ética digital: promover el uso responsable y seguro de la información, respetando derechos y normas digitales.
Desarrollo profesional digital: actualizarse continuamente y participar en comunidades de aprendizaje en línea.
En conjunto, estas competencias fortalecen la enseñanza innovadora, colaborativa y segura en el entorno digital universitario.","El uso de herramientas digitales ha enriquecido mis estrategias de evaluación al permitir procesos más dinámicos, continuos y formativos. Estas herramientas facilitan la retroalimentación inmediata, la diversificación de evidencias de aprendizaje y la participación activa de los estudiantes mediante actividades interactivas y colaborativas. Además, han favorecido una evaluación más objetiva y flexible, centrada en el desarrollo de competencias y en la aplicación práctica del conocimiento.","La integración de herramientas de inteligencia artificial en el aula plantea importantes retos técnicos y éticos. Entre los retos técnicos, destacan la necesidad de capacitación docente para un uso adecuado, la conectividad limitada y la fiabilidad de las plataformas. En el ámbito ético, surgen dilemas relacionados con la protección de datos personales, el plagio, la autoría intelectual y la equidad en el acceso. Además, existe el riesgo de que la IA sustituya el pensamiento crítico si no se orienta adecuadamente su uso, por lo que el papel del docente sigue siendo esencial para guiar un aprendizaje responsable y ético.",INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-29 14:01:04.632,4,4,3,3,3,2,4,3,5,3,4,4,3,2,3,5,4,5,5,5,1,1,1,1,Innova con TIC y guía a otros docentes en su uso.,"Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Desarrollo profesional y formación continua en competencias digitales",Sobrecarga laboral o falta de tiempo.,Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Interacción asincrónica con los alumnos,Acceso de los estudiantes,Innovación en la educación y aprendizaje,"Positivo, se maximiza el alcance de los entornos de prácticas",Uso inadecuado de la IA para elaborar tareas sin generar el aprendizaje,UNIVERSIDAD CATÓLICA DE CUENCA
2025-10-29 14:04:41.548,3,2,3,3,4,4,3,4,2,1,1,2,4,4,2,4,3,4,4,4,2,1,2,2,Uso autónomo y regular de TIC en la enseñanza.,"Creación y adaptación de contenidos digitales., Uso de inteligencia artificial y tecnologías emergentes.",Dificultades en la evaluación digital.,Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Permiten optimizar la organización y gestión en clases,Puede ser una falta de compromiso del estudiante.,"Considero la capacidad para actuar responsablemente, proteger la información y promover el uso ético de la tecnología; enfocado siempre al objetivo principal de aprovechar el tiempo en aprender / practicar",En mis estrategias para optimizar el tiempo de enseñana,Considero que los principios éticos e inclusive morales sean fortalecidos para el uso de la IA en un salón de clases,UNIVERSIDAD CATÓLICA DE CUENCA
2025-10-29 14:14:41.218,5,5,3,5,4,4,4,5,4,3,2,3,5,5,3,5,5,3,5,5,2,2,1,1,Innova con TIC y guía a otros docentes en su uso.,"Creación y adaptación de contenidos digitales., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Conectividad limitada., Sobrecarga laboral o falta de tiempo., Resistencia al cambio o cultura digital limitada.",Parcialmente adecuadas.,Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,"Reducción de tiempo, facilidad para corregir y evaluar ",Conectividad ,Estar ctuqlizado en el uso de tecnologías e ia,Apoyo para ser más preciso evaluando,Plagio o excesivo uso de IA y menos razonamiento,UNIVERSIDAD CATÓLICA DE CUENCA
2025-10-29 15:02:13.207,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,Crea nuevas prácticas y difunde experiencias innovadoras.,"Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Infraestructura tecnológica insuficiente, Conectividad limitada., Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional., Resistencia al cambio o cultura digital limitada.","Sí, totalmente adecuadas.",Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,"Las plataformas virtuales han facilitado la comunicación constante con los estudiantes, permitiendo compartir recursos educativos de forma rápida y organizada. Además, promueven el aprendizaje autónomo, la retroalimentación inmediata y la flexibilidad en los tiempos y espacios de estudio. También han fortalecido el trabajo colaborativo mediante foros, videoconferencias y actividades interactivas.","Entre las principales limitaciones se encuentran los problemas de conectividad y el acceso desigual a dispositivos tecnológicos por parte de algunos estudiantes. Además, ciertas herramientas presentan una curva de aprendizaje que requiere tiempo para su dominio. En ocasiones, la sobrecarga de plataformas y la falta de capacitación técnica pueden dificultar la integración efectiva de las TIC en el proceso de enseñanza-aprendizaje.","Las competencias más importantes son: el dominio de herramientas digitales para la gestión del aula virtual, la creación de recursos multimedia, la comunicación efectiva en entornos digitales, la seguridad y ética digital, y la capacidad de evaluar el aprendizaje mediante tecnologías. También resulta esencial la competencia pedagógica digital, que implica seleccionar y adaptar las herramientas según las necesidades de los estudiantes y los objetivos de aprendizaje.","El uso de herramientas digitales ha permitido implementar evaluaciones más dinámicas, participativas y personalizadas. Plataformas como formularios, foros y cuestionarios interactivos facilitan la evaluación continua y la retroalimentación inmediata. Asimismo, las analíticas de aprendizaje ofrecen datos objetivos sobre el progreso de los estudiantes, lo que permite ajustar las estrategias pedagógicas y fomentar una evaluación más formativa y reflexiva.","En el ámbito ético, surgen dilemas relacionados con la protección de datos personales, la veracidad de la información generada por la IA y el riesgo de que los estudiantes dependan excesivamente de estas herramientas, afectando su pensamiento crítico y creatividad. También preocupa el uso de contenidos generados por IA sin un adecuado reconocimiento de autoría y la posibilidad de sesgos en los algoritmos que podrían influir en la equidad educativa.",UNIVERSIDAD CATÓLICA DE CUENCA
2025-10-29 15:41:05.429,4,2,1,5,5,2,2,2,1,3,3,4,3,4,2,5,5,4,4,5,1,1,1,1,"Uso limitado, aplica TIC en actividades simples.","Creación y adaptación de contenidos digitales., Comunicación y colaboración digital con estudiantes o colegas., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Conectividad limitada., Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Resistencia al cambio o cultura digital limitada.",Poco adecuadas.,Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,Mayor rapidez en la presentación de trabajos,La práctica y no se adaptan a la parte matematica ,La IA,"Mucho, porque se crean más actividades ",Los estudiantes dejan de leer por la IA,UNIVERSIDAD CATÓLICA DE CUENCA
2025-10-29 15:41:18.827,3,4,2,4,3,4,3,3,1,1,4,4,3,4,4,4,3,5,5,5,2,1,1,1,Uso autónomo y regular de TIC en la enseñanza.,"Creación y adaptación de contenidos digitales., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Uso de inteligencia artificial y tecnologías emergentes.","Infraestructura tecnológica insuficiente, Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.",Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Reducir tiempos en procesos enseñanza,Falta de Tiempo,.,.,Concientizar que el abuso de la IA implica la involucion de capacidades tales como creatividad y la de solución de problemas ,UNIVERSIDAD CATÓLICA DE CUENCA
2025-10-29 18:40:11.363,4,4,3,4,4,3,4,4,4,2,4,3,4,4,4,5,4,4,4,5,2,2,2,2,Uso autónomo y regular de TIC en la enseñanza.,"Creación y adaptación de contenidos digitales., Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.","Falta de formación docente continua., Sobrecarga laboral o falta de tiempo., Escaso apoyo institucional.",Parcialmente adecuadas.,Bastante: Las competencias digitales potencian la enseñanza y la comprensión.,Facilidad para calificar.,La necesidad de poseer licencias que en muchos casos son costosas ,Saber utilizar las herramientas de forma adecuada ,Me a permitido agudizar la detención del mal uso de IA en trabajos ,El copy anda paste ,UNIVERSIDAD CATÓLICA DE CUENCA
2025-10-29 19:45:23.969,4,5,4,5,5,4,3,3,3,2,5,5,5,3,4,4,3,5,5,5,1,1,1,2,Uso autónomo y regular de TIC en la enseñanza.,"Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital).",Sobrecarga laboral o falta de tiempo.,Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,Optimización de tiempo,"Tiempo limitada, varias asignaturas ",,Los estudiantes captan mejor los conceptos con temas interactivos,,INSTITUTO SUPERIOR TECNOLÓGICO DEL AZUAY
2025-10-30 09:14:45.203,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,"Uso muy básico de TIC, con apoyo frecuente",Creación y adaptación de contenidos digitales.,Infraestructura tecnológica insuficiente,Parcialmente adecuadas.,Moderadamente: Las competencias digitales pueden apoyar algunos aprendizajes.,es buena,falta internet,es importante todas,mejorar la practica docente,la IA,UNIVERSIDAD NACIONAL DE LOJA
2025-10-30 09:31:44.830,3,3,2,5,3,3,4,3,3,4,2,4,4,4,5,4,2,5,5,5,1,1,1,3,Uso autónomo y regular de TIC en la enseñanza.,"Evaluación digital (rúbricas, cuestionarios en línea, retroalimentación digital)., Desarrollo profesional y formación continua en competencias digitales, Uso de inteligencia artificial y tecnologías emergentes.",Sobrecarga laboral o falta de tiempo.,Parcialmente adecuadas.,Poco: El impacto es limitado o depende del contexto.,La principal ventaja ha sido la optimización de tiempo.,La falta de una estrategia coordinada entre profesor y estudiantes.,La capacitación en en el uso de plataformas y estrategias internacionales exitosas para el uso de TICs en la educación.,Muy baja incidencia.,La falta de un uso ético de la inteligencia artificial en la generación de trabajos por parte de los estudiantes.,UNIVERSIDAD CATÓLICA DE CUENCA
2025-10-30 09:39:32.171,5,5,2,2,2,1,5,2,5,5,3,4,5,5,5,5,5,5,5,5,1,2,2,2,Uso autónomo y regular de TIC en la enseñanza.,"Comunicación y colaboración digital con estudiantes o colegas., Uso de inteligencia artificial y tecnologías emergentes.",No aplica,"Sí, totalmente adecuadas.",Totalmente: Las competencias digitales transforman de forma clara los aprendizajes.,Automatización,Capacitación,Curar contenidos,Personalizar el aprendizaje,No declarar el uso de las IA Gen,UNIVERSIDAD NACIONAL DE LOJA
